emp_id,dept,projects,avg_hrs_month,last_eval_score,tenure_years,satisfaction,promotion_5yr,perf_rating
1001,Fin,8,196,0.5405106680892914,2,0.39474880448129884,0,Medium
1002,HR,5,161,0.8720502010926622,9,0.4383474544137911,0,Medium
1003,Ops,6,211,0.9824597238848698,2,0.4263627598746965,0,Medium
1004,Ops,8,229,0.557605385559191,1,0.48372940958488514,0,Medium
1005,Tech,4,237,0.562941258850624,2,0.6676808931471083,0,Medium
1006,Sales,9,232,0.6837382796865429,7,0.3778461231367531,0,Low
1007,HR,6,157,0.9903041877132627,8,0.9077185067285528,0,Medium
1008,Tech,6,244,0.5613753674958827,5,0.5081530719159306,0,Medium
1009,Tech,8,170,0.6441831457805584,6,0.41377659122809546,1,Medium
1010,Fin,3,230,0.9348880093741041,1,0.7729349167187702,0,Medium
1011,Sales,4,236,0.4017526195728172,6,0.3266604104195235,0,Low
1012,Sales,8,229,0.42385957899314175,8,0.7339779954119149,0,Medium
1013,HR,4,219,0.7624430062427315,3,0.7887389014735499,0,Medium
1014,Sales,4,221,0.9444280988277082,1,0.4504415719707034,0,Medium
1015,Tech,9,174,0.5433139962411566,4,0.329374851410544,0,Medium
1016,Sales,6,231,0.6817850648084254,1,0.5545517512436147,0,Medium
1017,Sales,5,238,0.670279180994691,8,0.36901596116935553,0,Low
1018,Ops,9,161,0.6837828076573061,5,0.38153449477133594,0,Medium
1019,Tech,9,164,0.7735118174378471,1,0.47798286201140516,0,Medium
1020,Sales,4,208,0.6818462577944103,8,0.5068275472387315,0,Medium
1021,Sales,7,175,0.6684808847934747,9,0.6709792387149944,0,Medium
1022,Fin,6,175,0.6845730522587563,2,0.7748743198521091,0,Medium
1023,Sales,3,196,0.7545204647626249,9,0.7149396586091293,1,Medium
1024,Sales,9,181,0.722204493010815,8,0.40385223610266174,0,Medium
1025,Ops,5,159,0.9124815985903025,7,0.42046022271683847,0,Medium
1026,Tech,7,165,0.4296981120962,3,0.9151384748550401,0,Medium
1027,HR,7,220,0.8999902428838075,2,0.6908466205448796,0,High
1028,Tech,3,166,0.9063547675670344,7,0.9089564830283823,0,Medium
1029,Fin,9,172,0.5709448129185766,5,0.560082557923912,0,Medium
1030,Tech,5,175,0.6777111730095104,6,0.7300800052019266,0,Medium
1031,Sales,6,234,0.6631230931224613,4,0.6665643912382275,0,Medium
1032,Fin,2,235,0.5311059006124782,2,0.5233864428743238,0,Medium
1033,Tech,5,156,0.6380781082517899,9,0.6289407604235168,0,Medium
1034,Fin,3,163,0.4266326633025127,3,0.6517436137788524,0,Medium
1035,HR,7,228,0.5666932436690407,7,0.440539682329675,0,Medium
1036,Tech,6,156,0.8900093052704309,8,0.5205072606637121,0,Medium
1037,Sales,5,158,0.5707373810577385,2,0.8539868253548829,0,Medium
1038,Fin,2,197,0.8909240012489485,6,0.9410517676178889,0,Medium
1039,Ops,2,221,0.7189596787626585,8,0.5518558654817096,0,Medium
1040,Fin,4,208,0.927917606416696,7,0.5148805975463127,0,Medium
1041,Ops,4,236,0.7448677325586491,3,0.43663801520031775,0,Low
1042,Sales,8,242,0.4178009338388439,1,0.7749438180554068,0,Medium
1043,HR,3,231,0.8052521245282536,6,0.526169791166436,0,Medium
